transect,EVI,TCW,TCG,TCB,DTM.sd,DTM.cv,DTM.range,Slope.sd,Slope.mean,pixel_tree_stems
J1,4227.2,-1480.4,1586.2,3209.8,0.334453896,0.00393996,1.594358826,1.140548341,2.12749896,3.2
J2,3936.4,-1451.2,1421.4,2990.8,0.828372037,0.012429864,3.665162659,1.666160716,3.871120595,11
T1,4433.2,-1185.4,1753.6,3195.8,0.485655059,0.004692505,2.002993774,1.240925132,2.416464034,2.8
T10,4382,-1215.2,1668.6,3035,0.469036549,0.005095536,2.003665161,1.456232463,2.755664922,10.4
T2,3864.4,-1563.6,1386.2,3099.4,0.495483344,0.006935769,2.055499268,0.99647443,2.246533414,11
T3,3814.4,-1328,1378,2768.2,1.394945962,0.013509596,6.181231689,2.809741493,5.829131778,56.6
T4,3744.4,-1385.2,1334.4,2765.4,0.66934254,0.008128573,2.907687378,1.555435926,3.104308509,58.4
T5,3715.6,-1715.2,1332.4,3196,0.513668328,0.004384573,2.129652405,1.094566525,2.386966147,12.6
T6,3352.6,-1485.2,1167.8,2842.6,0.397942214,0.003057631,1.814871216,1.078203194,2.123460525,51
T7,3670.2,-1687.8,1284.6,3098.8,0.219082475,0.00162356,1.064053345,0.934608312,1.736259405,29.2
T9,4286.6,-1275.2,1659,3110.8,0.774595023,0.007747302,3.242434692,1.247063697,3.451168617,11.8
